site,url,family,classification,status,indexable_on_page,word_count,template_ratio,unique_sentence_ratio,nearest_similarity,nearest_url,doorway_risk,duplicate_risk,thin_risk,internal_links_in,internal_links_out,title,h1,canonical,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr_28d,gsc_position_28d,gsc_index_status,protected
ozdemir,https://ankaraozdemirnakliyat.com/,home,KEEP,200,true,1641,0.0000,1.0000,0.0000,,false,false,false,365,48,Ankara Nakliyat ve Nakliyeci: Sigortalı & Asansörlü Taşıma,Ankara Evden Eve Nakliyat ve Asansörlü Nakliyeci Hizmetleri Ankara Evden Eve Nakliyat Sigortalı & Asansörlü Taşıma,https://ankaraozdemirnakliyat.com,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/hakkimizda,static_hakkimizda,IMPROVE,200,true,134,0.0000,1.0000,0.0000,,false,false,true,365,47,Hakkımızda | Ankara Özdemir Nakliyat,Ankara Özdemir Nakliyat,https://ankaraozdemirnakliyat.com/hakkimizda,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/iletisim,static_iletisim,IMPROVE,200,true,141,0.0000,1.0000,0.0000,,false,false,true,365,47,İletişim - Profesyonel Nakliye Teklifi Alın | Ankara Özdemir Nakliyat,İletişim .,https://ankaraozdemirnakliyat.com/iletisim,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/galeri,static_galeri,IMPROVE,200,true,228,0.0000,1.0000,0.0000,,false,false,false,365,47,Galeri - Nakliyat Fotoğrafları ve Videoları | Ankara Özdemir Nakliyat,Nakliyat . Galerisi,https://ankaraozdemirnakliyat.com/galeri,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/sss,static_sss,IMPROVE,200,true,225,0.0000,1.0000,0.0000,,false,false,false,365,47,Sıkça Sorulan Sorular | Ankara Özdemir Nakliyat,Sıkça Sorulan Sorular,https://ankaraozdemirnakliyat.com/sss,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/hizmetler,static_hizmetler,KEEP,200,true,929,0.0000,1.0000,0.0000,,false,false,false,365,47,Hizmetlerimiz - Ankara Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Nakliyat . Hizmetlerimiz,https://ankaraozdemirnakliyat.com/hizmetler,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/evden-eve-nakliyat,static_evden-eve-nakliyat,KEEP,200,true,1448,0.0000,1.0000,0.0000,,false,false,false,365,47,Ankara Evden Eve Nakliyat & Nakliye: %20 İndirimli Sabit Fiyat,Ankara . Evden Eve . Nakliyat & Nakliye,https://ankaraozdemirnakliyat.com/evden-eve-nakliyat,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/blog,static_blog,KEEP,200,true,2465,0.0000,1.0000,0.0000,,false,false,false,365,347,Blog - Nakliyat Rehberi ve Taşınma İpuçları | Ankara Özdemir Nakliyat,Nakliyat . Blogu.,https://ankaraozdemirnakliyat.com/blog,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/makaleler,static_makaleler,KEEP,200,true,1672,0.0000,1.0000,0.0000,,false,false,false,365,347,Nakliyat Rehberi ve Bölgesel Hizmetler | Ankara Özdemir Nakliyat,Nakliyat . Makaleleri.,https://ankaraozdemirnakliyat.com/makaleler,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/gizlilik-politikasi,static_gizlilik-politikasi,IMPROVE,200,true,414,0.0000,1.0000,0.0000,,false,false,false,365,48,Gizlilik Politikası | Ankara Özdemir Nakliyat,Gizlilik Politikası,https://ankaraozdemirnakliyat.com/gizlilik-politikasi,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/kullanim-sartlari,static_kullanim-sartlari,KEEP,200,true,469,0.0000,1.0000,0.0000,,false,false,false,365,48,Kullanım Şartları | Ankara Özdemir Nakliyat,Kullanım Şartları,https://ankaraozdemirnakliyat.com/kullanim-sartlari,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/kvkk,static_kvkk,KEEP,200,true,586,0.0000,1.0000,0.0000,,false,false,false,365,48,KVKK Aydınlatma Metni | Ankara Özdemir Nakliyat,KVKK Aydınlatma Metni,https://ankaraozdemirnakliyat.com/kvkk,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler,static_islemler,IMPROVE,200,true,216,0.0000,1.0000,0.0000,,false,false,true,365,65,Nakliyat Hizmet Bölgeleri | Ankara ve 81 İl Taşımacılık Ağı | Ankara Özdemir Nakliyat,Hizmet . Bölgelerimiz,https://ankaraozdemirnakliyat.com/islemler,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/site-haritasi,static_site-haritasi,IMPROVE,200,true,75,0.0000,1.0000,0.0000,,false,false,true,365,48,Site Haritası | Ankara Özdemir Nakliyat,Site Haritası,https://ankaraozdemirnakliyat.com/site-haritasi,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/hizmetler/sehir-ici-nakliyat,service_page,IMPROVE,200,true,396,0.2880,0.7120,0.1765,https://ankaraozdemirnakliyat.com/hizmetler/sehirler-arasi-nakliyat,false,false,false,365,47,Ankara Şehir İçi Nakliyat: Aynı Gün Sigortalı Taşıma | Ankara Özdemir Nakliyat,Ankara Şehir İçi Nakliyat,https://ankaraozdemirnakliyat.com/hizmetler/sehir-ici-nakliyat,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
